Permission,org-admin,shop-admin,resource-mgr,coach,accountant,Module
subscription.edit.price-monthly,,,,,,subscription
subscription.edit.price-yearly,,,,,,subscription
subscription.features.edit,,,,,,subscription
subscription.features.view,,,,,,subscription
subscription.plans.billing-period-toggle,,,,,,subscription
subscription.request,,,,,,subscription
subscription.request.approve,,,,,,subscription
subscription.request.reject,,,,,,subscription
subscription.request.view,,,,,,subscription
subscription.toggle,,,,,,subscription
subscription.upgrade.approve,,,,,,subscription
subscription.upgrade.reject,,,,,,subscription
subscription.upgrade.request,,,,,,subscription
subscription.upgrade.view,,,,,,subscription
subscription.view,,,,,,subscription
support.tickets.create,,,,,,support
support.tickets.manage,,,,,,support
support.tickets.view,,,,,,support
tags.create,,,,,,tags
tags.delete,,,,,,tags
tags.edit,,,,,,tags
tags.edit.name,,,,,,tags
tags.edit.slug,,,,,,tags
tournament.create,,,,,,tournament
tournament.dashboard.view,,,,,,tournament
tournament.delete,,,,,,tournament
tournament.manage,,,,,,tournament
tournament.publish,,,,,,tournament
tournament.register,,,,,,tournament
tournament.result.manage,,,,,,tournament
tournament.update,,,,,,tournament
tournament.view,,,,,,tournament
tournaments.create,,,,,,tournaments
tournaments.create.banner,,,,,,tournaments
tournaments.create.description,,,,,,tournaments
tournaments.create.end-date,,,,,,tournaments
tournaments.create.format,,,,,,tournaments
tournaments.create.location,,,,,,tournaments
tournaments.create.max-participants,,,,,,tournaments
tournaments.create.name,,,,,,tournaments
tournaments.create.prize,,,,,,tournaments
tournaments.create.registration-deadline,,,,,,tournaments
tournaments.create.rules,,,,,,tournaments
tournaments.create.sport,,,,,,tournaments
tournaments.create.start-date,,,,,,tournaments
tournaments.create.type,,,,,,tournaments
tournaments.delete,,,,,,tournaments
tournaments.edit,,,,,,tournaments
tournaments.enter_scores,,,,,,tournaments
tournaments.join,,,,,,tournaments
tournaments.manage_brackets,,,,,,tournaments
tournaments.view,,,,,,tournaments
translations.create,,,,,,translations
translations.delete,,,,,,translations
translations.edit,,,,,,translations
translations.edit.key,,,,,,translations
translations.edit.language,,,,,,translations
translations.edit.module,,,,,,translations
translations.edit.value,,,,,,translations
translations.sync,,,,,,translations
translations.view,,,,,,translations
ui-permissions.apply-templates,,,,,,ui-permissions
ui-permissions.sync,,,,,,ui-permissions
ui-permissions.toggle-role,,,,,,ui-permissions
ui-permissions.view,,,,,,ui-permissions
users.assign-role,,,,,,users
users.change-password,,,,,,users
users.create,,,,,,users
users.delete,,,,,,users
users.edit,,,,,,users
users.edit.email,,,,,,users
users.edit.first-name,,,,,,users
users.edit.last-name,,,,,,users
users.edit.phone,,,,,,users
users.edit.role,,,,,,users
users.edit.status,,,,,,users
users.view,,,,,,users
users.view-activity,,,,,,users
users.view-bookings,,,,,,users
users.view-orders,,,,,,users
